Brand,Category,Title,Text,Rating,Date,Source
Seasalt Cornwall,Ethical Fashion,The online purchases were great,"The online purchases were great, but unfortunately one of the items was too small (it was in a 2 for £40 deal) so I took it back to the store in Ilkey, to exchange it for an item in the same deal. They refunded me the deal price, but wouldn't let me exchange it for another item in the same deal. I thought this would be a like for like exchange!!!!.",3,2026-07-06 14:44:16+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Bought online in the sale,Bought online in the sale. Loved the vibrant colour of the dress but disappointed with the quality of the material. Not what I’ve grown to expect from Seasalt.,3,2026-07-06 14:43:18+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Easy online ordering and pickup locally,"Easy ordering online and local pick up in store, worked really well - lovely sale item at a great price!",5,2026-07-06 14:41:35+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Nice dress good quality in a loose fit style…,"Very nice dress reasonable heavy material, I went for 18 as I'm 16-18 but I think actually I could have gone for the 16 as it's quite a full loose fitting dress.",5,2026-07-06 14:39:06+00:00,Trustpilot
Boohoo,Fast Fashion,Paying but not receiving goods,"My order was delivered in several packages. One of them was not delivered but they say through sending pictures of the other packages that it was delivered. So ended up in paying for something I have not received. The support is not working well either. Difficult to reach, long answers no personal contact. Sorry that my first delivery from them was so bad. Will keep myself away from this company.",1,2026-07-06 14:38:16+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Speedy delivery of item,Speedy delivery of item,4,2026-07-06 14:34:04+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,I bought Veronica dress and I liked it…,I bought Veronica dress and I liked it so much I went to my local shop and bought Pier View which is just as lovely. I’m going to be sticking to only Seasalt  in future as previous dresses have been just as excellent and wash and wear very well indeed,5,2026-07-06 14:29:39+00:00,Trustpilot
ASOS,Fast Fashion,AVOID AVOID AVOID!!!,"Appauling, non existent customer 'service'. O/N 1055137497 9 items ordered only 8 delivered. Customer service just keeps ending the online chat!!! AVOID ASOS, AVOID AVOID AVOID!!!",1,2026-07-06 14:29:27+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,I have some sea salt dresses always a…,I have some sea salt dresses always a good fit and very comfortable always pleased with them,5,2026-07-06 14:26:22+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Items all fit well and are good…,Items all fit well and are good quality. Delivery in separate parcels which do not arrive on the dates advised not so good.,5,2026-07-06 14:24:33+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Purchased several items in the passed…,Purchased several items in the passed always been satisfied with my purchased.Fast delivery.,4,2026-07-06 14:22:37+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Easy to shop online,"Easy to shop online, brilliant goods, always well packaged",5,2026-07-06 14:20:33+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Good quality cotton clothes.,Good quality cotton clothes.,5,2026-07-06 14:18:36+00:00,Trustpilot
ASOS,Fast Fashion,Thieves?,ASOS have mysterious charges over and above postage costs. When challenged they promise to refund but never do. AVOID!!,1,2026-07-06 14:15:17+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Great item,"Great item, sent quickly.",5,2026-07-06 14:14:50+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Fast reliable and super easy returns,Fast reliable and super easy returns,5,2026-07-06 14:13:55+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Lovely material and great that they…,Lovely material and great that they have pockets,5,2026-07-06 14:10:42+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,"Website was easy to navigate,there were…","Website was easy to navigate,there were plenty of pictures of the item I was interested in buying and the size guide was very useful. My order was sent out promptly and well packaged and the Tee Shirt was good quality.",5,2026-07-06 14:10:13+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,I eventually bought another dress!,"I bought 1 top, returned it. I bought 2 tops and returned them! Finally I bought another dress instead,  which is perfect. You allowed me to dither! Thank you so much.",5,2026-07-06 14:10:12+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Daisy Dress,"Easy ordering and delivered.within 3/4 days. I do like and favour Seasalt clothes, quality always good and sizing fairly OK.",5,2026-07-06 14:06:33+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Efficient service,Very fast delivery and when I had to return the garment as it didn’t suit me the refund was back in my account very quickly.,5,2026-07-06 14:04:42+00:00,Trustpilot
ASOS,Fast Fashion,Shocking company,"Shocking company, all your consumer rights are out the window when it comes to ASOS. Even after waiting their 10 day return policy I’ve spent 3 hours on ‘online chat’ to multiple people who won’t give me a definitive answer to when or if I’ll ever get my money back! They should be shut down. Why on earth some of these big brand still want to work with this company is beyond me! AVOID AVOID AVOID.",1,2026-07-06 13:52:20+00:00,Trustpilot
ASOS,Fast Fashion,What an absolute nightmare this company…,What an absolute nightmare this company has become to deal with. I was over charged and they kept running me around in circles to get the refund.,1,2026-07-06 13:51:50+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Great quality and choice,I have purchased many items of clothing over recent years and have always been extremely happy with the quality and choice. Service in store and online excellent. Would highly recommend.,5,2026-07-06 13:36:51+00:00,Trustpilot
Boohoo,Fast Fashion,Last Boohoo Order - Returns Policy,"I won’t be ordering from Boohoo nor any concession within its wider Debenhams parent group again, on principle. Having paid £3.99 for delivery, I was sent the incorrect item. However, to return this item cost me a further £1.99 which will eventually be deducted from the refund amount I will receive. The customer should not have to pay an additional (item return) charge for Boohoo’s incompetence in its basic retail activity of selecting and sending the correct product that was ordered. While £1.99 appears miniscule, it nonetheless represents a 50% increase in delivery charges. If this occurs on a regular basis across the entire Debenhams retail group, however, it is a great money making ruse where the customer ends up with nothing but the company inflates income made from delivery charges in reward for its own potentially deliberate error.",1,2026-07-06 13:30:30+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,good quality clothing,Love Seasalt Cornwall clothing. Always good quality. Beautiful fabrics in beautiful colours.,5,2026-07-06 13:13:24+00:00,Trustpilot
Seasalt Cornwall,Ethical Fashion,Seasalt clothes,"Everything i have bought from Seasalt has fitted wonderfully, looks smart. Washes brilliantly and i love yorur oroducts. Would recommend and do to my friends & family.",5,2026-07-06 13:03:52+00:00,Trustpilot
